Name,Countries,Stage,Type,Cheque_min,Cheque_max,Industry
Kurt Bilafer,Global,"pre-seed, seed, series+",Solo Angel,10000,100000,Sector Agnostic
Kushal Jayesh Khandwala,Global,"pre-seed, seed",Solo Angel,50000,500000,"IT, Consumer, Fintech"
Kyle Lui,Global,"pre-seed, seed, series+",Multi-stage VC,1000000,5000000,Sector Agnostic
Kyle Porter,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,Sector Agnostic
Kyle Widrick,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Sector Agnostic
Lacey Johnson,Global,"seed, series++",Multi-stage VC,100000,500000,Sector Agnostic
Laconia,United States,"seed, post revenue, prototype/mvp, pre-seed",VC,500000,2000000,Other
Lainy Painter Singh,US/Canada,"seed, series++",Multi-stage VC,1000000,5000000,Sector Agnostic
Lalit Keshre,Global,"pre-seed, seed",Solo Angel,100000,2000000,"Consumer, Edtech, Fintech"
Lan Xuezhao,Global,seed,Seed fund,1000000,5000000,Sector Agnostic
Lars Kamp,Global,"pre-seed, seed, series+",Solo Angel,100000,2000000,Sector Agnostic
Laurence Marlor,Global,"pre-seed, seed, series+",Solo Angel,250000,5000000,Other
Laurent Ritter,Global,"pre-seed, seed, series+",Solo Angel,10000,20000,Sector Agnostic
Lawrence Ansah-Addo,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Sector Agnostic
LD Sharma,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Media
Le Zhang,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
"Lead Angels Network
",Global,pre-seed,VC,25000,125000,"IT, Consumer, Media, Fintech, Edtech"
Lead sports and health tech patners,United States,"prototype/mvp, seed, post revenue, idea, pre-seed",VC,500000,1000000,Healthcare
Lee Hudson,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,IT
Lee Jacobs,Global,"pre-seed, seed",Seed fund,500000,1000000,Sector Agnostic
Leo Polovets,US/Canada,"pre-seed, seed",Seed fund,1000000,2000000,Healthcare
Leslie Stretch,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Sector Agnostic
"Lets Venture
",Global,pre-seed,VC,250000,500000,"IT, Consumer, Media, Fintech, Edtech"
Lex Zhao,US/Canada,"pre-seed, seed",Seed fund,500000,1000000,Sector Agnostic
Lexi Ventures,United States,"prototype/mvp,seed",VC,200000,1000000,Sector Agnostic
Lexi Ventures,United States,"prototype/mvp, pre-seed, seed",VC,50000,500000,Healthcare
Li Jin,US/Canada,"pre-seed, seed, series+",Seed fund,200000,300000,Sector Agnostic
Liam Casey,Global,"pre-seed, seed, series+",Solo Angel,250000,1000000,Sector Agnostic
Liam Griffin,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Other
Lightbox,Global,pre-seed,VC,250000,2000000,"IT, Consumer, Media, Fintech, Edtech"
Lightship Capital,United States,"seed, post revenue",VC,250000,500000,Healthcare
Lightspeed,Global,"seed, series+",VC,15,100000,"IT, Consumer"
Lloyd Frink,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Other
Longley Capital,United States,"pre-seed, seed, post revenue, prototype/mvp",VC,300000,2000000,Other
Loui Blake,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Media
Louis Jonckheere,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Sector Agnostic
Lovrenc Kessler,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,Other
Lucas Nealan,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Other
Ludvig Linge,Global,"pre-seed, seed, series+",Solo Angel,10000,20000,IT
Luisa Sucre,US/Canada,"seed, series+",Multi-stage VC,1000000,5000000,Sector Agnostic
Luke Aviet,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Other
Luminate,United States,"seed, prototype/mvp, series+","Incubator, Accelerator",100000,1000000,IT
Luminate,United States,"post revenue, prototype/mvp, pre-seed, seed","Incubator, Accelerator",100000,1000000,Other
Lyndon Rive,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Other
Mahdi Shariff,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,IT
Make Studios,United States,"idea,prototype/mvp",Startup studio,25000,75000,Sector Agnostic
Make Studios,United States,"idea, prototype/mvp, pre-seed",Startup Studio,25000,75000,Sector Agnostic
Make Studios,United States,"idea, pre-seed, prototype/mvp",Startup Studio,25000,75000,Sector Agnostic
Mallun Yen,US/Canada,"pre-seed, seed, series+",Multi-stage VC,500000,1000000,Sector Agnostic
Manan Mehta,US/Canada,pre-seed,Seed fund,100000,500000,Sector Agnostic
Maneesh Arora,Global,"pre-seed, seed, series+",Solo Angel,1000,20000000,Media
Manik Gupta,Global,"pre-seed, seed, series+",Solo Angel,50000,150000,Sector Agnostic
"Maninder Gulati
",Global,"pre-seed, seed",Solo Angel,250000,1000000,"IT, Consumer"
Manish Amin,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Other
Manish Gupta,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Sector Agnostic
"Manish Gupta
",Global,"pre-seed, seed",Solo Angel,1000,2000000,IT
"Manish Kheterpal
",Global,"pre-seed, seed",Solo Angel,10000,20000,"IT, Edtech, Consumer"
"Manish Vij
",Global,"pre-seed, seed",Solo Angel,25000,250000,"IT, Media, Edtech, Consumer"
Manny Fernandez,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,IT
Manoj Ganapathy,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Sector Agnostic
Mar Hershenson,Global,"seed, series+",Seed fund,1000000,5000000,Sector Agnostic
Marc McCabe,"Europe, US/Canada","pre-seed, seed, series+",Solo capitalist,50000,300000,Sector Agnostic
Marc Verstaen,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,Other
Marc-Henri Magdelenat,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Sector Agnostic
Marcel Hollerbach,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Sector Agnostic
Marcin Kleczynski,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Sector Agnostic
Marcos Galperin,Global,"pre-seed, seed, series+",Solo Angel,50000,250000,Sector Agnostic
Marcus Borner,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,IT
Marcus Exall,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
Marcy Simon,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Other
Mariam Naficy,Global,"pre-seed, seed, series+",Solo Angel,25000,50000,Sector Agnostic
Mario Mitchell,Global,"pre-seed, seed, series+",Multi-stage VC,100000,500000,Sector Agnostic
Marissa Mayer,Global,"pre-seed, seed, series+",Solo Angel,1000,10000000,Sector Agnostic
Mark Britto,Global,"pre-seed, seed, series+",Solo Angel,100000,300000,Other
Mark Ghermezian,"Europe, Israel, US/Canada","pre-seed, seed, series+",Multi-stage VC,500000,1000000,Sector Agnostic
Mark Gillespie,Global,"pre-seed, seed, series+",Solo Angel,10000,20000,Other
Mark Lee,US/Canada,"seed, series+",Multi-stage VC,500000,1000000,Other
Mark Naples,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,Other
Mark Ransford,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,Other
Mark Tomasovic,Global,series++,Multi-stage VC,8000000,25000000,Sector Agnostic
Mark Williamson,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,Sector Agnostic
"Mars Shot Ventures
",Global,pre-seed,VC,50000,100000,"IT, Consumer, Fintech"
Martin Dall,Global,"pre-seed, seed, series+",Solo Angel,25000,250000,Sector Agnostic
Martin Rubi,Global,"pre-seed, seed, series+",Solo Angel,250000,500000,Sector Agnostic
Martin Tajur,Global,"pre-seed, seed, series+",Solo Angel,100000,500000,Sector Agnostic
Marty Weiner,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Sector Agnostic
"Marwari Catalysts
",Global,seed,VC,25000,75000,"IT, Edtech, Media"
Mason Ng,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,Sector Agnostic
"Matrix
",Global,seed,VC,5000000,20000000,"IT, Media, Consumer"
Mats Kristiansen,Global,"pre-seed, seed, series+",Solo Angel,50000,150000,Consumer
Mats Lindoff,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Other
Matt Brezina,Global,"pre-seed, seed, series+",Solo capitalist,100000,500000,Sector Agnostic
Matt Carey,Global,"pre-seed, seed, series+",Solo Angel,250000,500000,Consumer
Matt Gorniak,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,Sector Agnostic
Matt Hagger,Global,"pre-seed, seed, series+",Solo Angel,10000,30000,Sector Agnostic
Matt Hayes,US/Canada,"pre-seed, seed, series++",Multi-stage VC,500000,1000000,Sector Agnostic
Matt Heiman,Global,"pre-seed, seed",Multi-stage VC,50000,50000,Sector Agnostic
Matt Isaacs,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Other
Matt Macinnis,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Sector Agnostic
Matt Monahan,Global,"pre-seed, seed, series+",Solo Angel,25000,50000,Media
Matt Motsick,Global,"pre-seed, seed, series+",Solo Angel,250000,500000,IT
Matt Robinson,Global,"pre-seed, seed, series+",Solo Angel,25000,50000,Other
Matteo Gamba,Global,"pre-seed, seed, series+",Solo Angel,50000,250000,Sector Agnostic
Maximilian Tayenthal,Global,"pre-seed, seed, series+",Solo Angel,1000,20000000,Other
"Mayfield
",Global,"seed, series+",VC,10,500000,"IT, Consumer, Edtech, Fintech"
Megan Ananian,"Global, US/Canada","pre-seed, seed, series+",Seed fund,100000,500000,Sector Agnostic
"Mekin Maheshwari
",Global,"pre-seed, seed",Solo Angel,50000,250000,"IT, Media, Edtech, Consumer"
Melih Odemis,Global,"pre-seed, seed, series+",Solo Angel,100000,200000,Other
Mendy Yang,US/Canada,"pre-seed, seed, series+",Seed fund,1000000,5000000,Sector Agnostic
Merck Digital Sciences studio,United States,"seed, prototype/mvp, pre-seed, idea","Incubator, Accelerator",150000,150000,Healthcare
MetaProp Ventures,United States,"pre-seed, prototype/mvp, seed",VC,500000,3000000,Healthcare
Michael Barrett,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Media
Michael Bristow,Global,"pre-seed, seed, series+",Solo Angel,1000,3000000,Other
Michael Cardamone,"Africa, Europe, Latin America, US/Canada","pre-seed, seed",Seed fund,100000,500000,Sector Agnostic
Michael Dornbrook,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Sector Agnostic
Michael Egziabher,Global,"pre-seed, seed",Seed fund,100000,500000,Other
Michael Lee,US/Canada,"pre-seed, seed, series++",Multi-stage VC,1000000,5000000,Sector Agnostic
Michael Liebreich,Global,"pre-seed, seed, series+",Solo Angel,100000,2000000,Other
Michael Ma,"Latin America, South Asia, US/Canada",seed,Seed fund,100000,500000,Sector Agnostic
Michael Patsalos-Fox,Global,"pre-seed, seed, series+",Solo Angel,1000,3000000,Other
Michael Rauchman,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Other
Michael Rubenstein,Global,"pre-seed, seed, series+",Solo Angel,50000,250000,Sector Agnostic
Michael Tanne,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Sector Agnostic
Michael Whitfield,Global,"pre-seed, seed, series+",Solo Angel,1000,2000000,Sector Agnostic
Michael Yang,Global,"pre-seed, seed, series+",Solo Angel,1000,20000000,Sector Agnostic
Michalis Michael,Global,"pre-seed, seed, series+",Solo Angel,25000,250000,Other
Michel Meyer,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,IT
Mike Ettling,Global,"pre-seed, seed, series+",Solo Angel,25000,250000,Sector Agnostic
Mike McSherry,Global,"pre-seed, seed, series+",Solo Angel,250000,1000000,Other
Mike Phillips,Global,"pre-seed, seed, series+",Solo Angel,500000,2000000,Consumer
Mikko Lintunen,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,IT
Milun Tesovic,"Europe, Israel, US/Canada","pre-seed, seed, series+",Multi-stage VC,1000000,5000000,Sector Agnostic
Mischa Rurup,Global,"pre-seed, seed, series+",Solo Angel,500000,5000000,IT
"Miten Sampat
",Global,"pre-seed, seed",Solo Angel,25000,500000,"Consumer, Media, Edtech, Fintech"
"Mitesh Shah
",Global,"pre-seed, seed",Solo Angel,500000,10000000,"IT, Media, Edtech, Consumer"
Mitra Lohrasbpour,Global,"pre-seed, seed",Seed fund,1000000,5000000,Sector Agnostic
Mitt Chen,United States,"post revenue, seed",Solo Angel,1000,25000,Other
Mo Islam,"Europe, US/Canada","seed, series++",Multi-stage VC,5000000,5000000,"IT, Fintech"
Mohammed Amdani,Global,"pre-seed, seed, series+",Seed fund,100000,500000,"IT, Consumer, Edtech, Fintech"
"Mohit Satyanand
",Global,"pre-seed, seed",Solo Angel,500000,10000000,Consumer
Mohit Saxena,Global,"pre-seed, seed, series+",Solo Angel,250000,1000000,Sector Agnostic
Morgan Livermore,Global,"seed, series+",Multi-stage VC,5000000,20000000,"IT, Healthcare, Fintech, IoT"
Morten Primdahl,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Sector Agnostic
Mubarak Muyika,Global,"pre-seed, seed, series+",Solo Angel,1000,2000000,IT
Mudasar Mustafa,United States,"idea,prototype/mvp,seed",Solo angel,1000,5000,Sector Agnostic
Mudasar Mustafa,United States,"idea, prototype/mvp, seed",Solo Angel,1000,5000,IT
"Mumbai Angels
",Global,pre-seed,VC,50000,150000,"IT, Consumer, Media, Fintech, Edtech"
Murugavel Janakiraman,Global,"pre-seed, seed",Solo Angel,250000,5000000,"IT, Media, Consumer"
Musaab Hakami,Global,"pre-seed, seed, series+",Solo Angel,250000,5000000,Sector Agnostic
Mustafa Suleyman,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
MutliCare Capital Patners,United States,"post revenue, seed",VC,750000,4000000,"IT, Healthcare"
Nakul Mandan,Global,"pre-seed, seed",Seed fund,1000000,5000000,"IT, Edtech, Fintech"
"Namita Thapar
",Global,"pre-seed, seed",Solo Angel,500000,1000000,"IT, Edtech"
"Nandini Mansinghka
",Global,"pre-seed, seed",Solo Angel,10000,50000,"IT, Consumer"
Naoki Aoyagi,Global,"pre-seed, seed, series+",Solo Angel,100000,300000,Sector Agnostic
Narayan Ramachandran,Global,"pre-seed, seed, series+",Solo Angel,10000,50000,Other
Nataraj Sindam,Global,"pre-seed, seed, series+",Solo Angel,100000,200000,Sector Agnostic
Nate Bosshard,US/Canada,"pre-seed, seed, series+",Seed fund,1000000,2000000,"Consumer, Fintech"
Nate Cooper,Global,"pre-seed, seed, series+",Seed fund,250000,250000,Consumer
"Naveen Tewari
",Global,"pre-seed, seed",Solo Angel,250000,750000,"IT, Media"
Neal Rapoport,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Sector Agnostic
Ned Staple,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Sector Agnostic
Neil Devani,US/Canada,"pre-seed, seed",Seed fund,250000,500000,"IT, Healthcare, Edtech, Fintech"
Neil Young,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,IT
"Nexus VP
",Global,seed,VC,10,500000,"IT, Consumer"
Nick Caldwell,Global,"pre-seed, seed, series+",Solo Angel,10000,100000,Media
Nick Ganju,Global,"pre-seed, seed, series+",Solo Angel,250000,5000000,Sector Agnostic
Nick Gatfield,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Sector Agnostic
Nick Pappageorge,Global,"pre-seed, seed, series+",Seed fund,500000,1000000,Fintech
Nick Raushenbush,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
Nick Telson,Global,"pre-seed, seed, series+",Solo Angel,500000,5000000,Other
Nicolas Draca,Global,"pre-seed, seed, series+",Solo Angel,500000,5000000,Sector Agnostic
Nicolas Mas,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Sector Agnostic
Nicolas Steegmann,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,Other
Nicolaus Henke,Global,"pre-seed, seed, series+",Solo Angel,250000,500000,Other
Nicole Williams Ruiz,"Africa, Europe, Israel, Latin America, Middle East/North Africa, Oceania, US/Canada","pre-seed, seed",Seed fund,500000,1000000,"Healthcare, Edtech"
Niels Doerje,Global,"pre-seed, seed, series+",Solo Angel,1000,2000000,Sector Agnostic
Night Ventures,United States,"pre-seed, prototype/mvp, post revenue, idea",VC,250000,500000,"Consumer, Healthcare, Edtech, Fintech"
Nik Sharma,US/Canada,"pre-seed, seed, series+",Multi-stage VC,50000,50000,"IT, Consumer, Fintech"
Nikhil Basu Trivedi,Global,"seed, series+",Multi-stage VC,1000000,10000000,"IT, Healthcare, Consumer"
"Nikhil Bhandarkar
",Global,"pre-seed, seed",Solo Angel,250000,2000000,"IT, Consumer"
Nikhil Gopalani,Global,"pre-seed, seed, series+",Solo Angel,25000,75000,Sector Agnostic
"Nikhil Vora
",Global,"pre-seed, seed",Solo Angel,50000,500000,Consumer
Niko Bonatsos,"Europe, Global, Israel, Latin America, US/Canada","pre-seed, seed, series++",Multi-stage VC,1000000,5000000,"IoT, IT, Healthcare, Fintech, Consumer, Media, Edtech"
Nikola Deskovic,Global,"pre-seed, seed, series+",Solo Angel,1000,3000000,Other
Nikola Jankovic,"Canada, United States","idea, pre-seed, seed, prototype/mvp, seed",Solo Angel,1000,500000,Fintech
Nilesh Trivedi,US/Canada,"pre-seed, seed, series+",Seed fund,500000,1000000,"Healthcare, Fintech"
"Nimesh Kampani
",Global,"pre-seed, seed",Solo Angel,100000,1000000,"Consumer, Edtech, Fintech"
Nimi Katragadda,"Europe, US/Canada","pre-seed, seed, series+",Seed fund,250000,750000,"Healthcare, Fintech"
Nina Suri,Global,"pre-seed, seed, series+",Solo Angel,50000,150000,Sector Agnostic
"Nipun Mehra
",Global,"pre-seed, seed",Solo Angel,100000,300000,"Consumer, Fintech"
"Nishant Rao
",Global,"pre-seed, seed",Solo Angel,10000,50000,"IT, Media, Fintech"
Nitin Gupta,Global,"pre-seed, seed",Solo Angel,25000,75000,"IT, Consumer, Fintech"
Nitish Mittersain,Global,"pre-seed, seed, series+",Solo Angel,250000,500000,Sector Agnostic
"Nitish Mittersain
",Global,"pre-seed, seed",Solo Angel,250000,5000000,"Consumer, Media, Edtech, Fintech"
Nolan Church,US/Canada,"pre-seed, seed",Solo Angel,50000,50000,"IT, Consumer, Edtech, Fintech"
Nolan Gray,Global,"pre-seed, seed, series+",Solo Angel,1000,3000000,Other
"Norwest
",Global,"seed, series+",VC,1000000,30000000,"IT, Consumer"
Nuno Job,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Sector Agnostic
Octave Fund,United States,"pre-seed, idea, seed, prototype/mvp",VC,200000,800000,IT
Oleg Rogynskyy,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Sector Agnostic
Olivier Mathiot,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Other
"Omidyar Network
",Global,"seed, series+",VC,500000,10000000,"IT, Consumer, Fintech"
Omri Dahan,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Other
"Orios VP
",Global,"pre-seed, seed",VC,4000000,8000000,"IT, Consumer, Fintech"
Osama Bedier,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Other
Oxford Angel Fund,United States,"seed,prototype/mvp,scaling",VC,50000,100000,Sector Agnostic
Oxford Angel Fund,United States,"pre-seed, seed, prototype/mvp",VC,50000,100000,Sector Agnostic
"Pankaj Chaddah
",Global,"pre-seed, seed",Solo Angel,500000,1000000,"Media, Edtech, Consumer"
Pankaj Jain,Global,"pre-seed, seed, series+",Solo Angel,50000,150000,Sector Agnostic
Paolo Rubatto,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Edtech
Parasvil Patel,US/Canada,"seed, series+",Multi-stage VC,1000000,5000000,"IT, Healthcare, Edtech, Fintech"
Parker Conrad,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Sector Agnostic
Parul Singh,US/Canada,"pre-seed, seed",Seed fund,1000000,5000000,"IT, Healthcare, Consumer"
Pathbreaker Ventures,United States,"idea,prototype/mvp,seed",VC,250000,1000000,Sector Agnostic
Pathbreaker Ventures,United States,"idea, pre-seed, prototype/mvp, seed",VC,250000,1000000,Other
Patrick Harmon,"Global, Latin America, US/Canada","seed, series+",Multi-stage VC,1000000,5000000,"IT, Healthcare, Fintech"
"Patrick Mathieson
","Global

","pre-seed, seed, series++","Multi-stage VC

",500000,1000000,"IT, Consumer, Fintech"
Patrick Poschl,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Other
"Patrick Salyer
","US/Canada

","pre-seed, seed, series+","Seed fund

",2000000,10000000,IT
Paul English,Global,"pre-seed, seed, series+",Solo Angel,100000,300000,Edtech
Paul Garcia,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Other
Paul Gouge,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
"Paul Levine
","Europe, Israel, US/Canada

",series++,"Multi-stage VC

",15000000,75000000,"IT, Consumer, Fintech"
Paul Walton,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Consumer
Peggy Mangot,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Other
"Pejman Nozad
",Global,"pre-seed, seed, series+","Seed fund

",250000,5000000,"IoT, IT, Healthcare, Fintech, Consumer, Edtech"
Pesu Venture Labs,India,idea or mvp,Startup studio,100000,200000,Sector Agnostic
Pesu Venture Labs,India,"idea, prototype/mvp, pre-seed",Startup Studio,100000,200000,IT
Peter Bencivenga,Global,"pre-seed, seed, series+",Solo Angel,100000,200000,Sector Agnostic
Peter Caswell,Global,"pre-seed, seed, series+",Solo Angel,500000,5000000,Sector Agnostic
Peter Gassner,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Sector Agnostic
Peter Hinssen,Global,"pre-seed, seed, series+",Solo Angel,250000,5000000,Consumer
Peter Lasensky,Global,"pre-seed, seed, series+",Solo Angel,100000,1000000,Other
"Peter Livingston
","Global

","seed, series+","Multi-stage VC

",100000,250000,"IoT, IT, Healthcare, Fintech, Consumer, Edtech"
Peter Minne,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Sector Agnostic
Peter Preston,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Sector Agnostic
Peter Scheufen,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Sector Agnostic
Peter Shankman,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Media
Peyush Bansal,Global,"pre-seed, seed",Solo Angel,1000,10000000,"IT, Media, Edtech, Consumer"
"Phanindra Sama
",Global,"pre-seed, seed",Solo Angel,25000,75000,"IT, Media, Edtech, Consumer"
Philippe Corrot,Global,"pre-seed, seed, series+",Solo Angel,500000,10000000,Sector Agnostic
Philippe Langlois,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,Other
Philippe Plichon,Global,"pre-seed, seed, series+",Solo Angel,50000,1000000,Other
Phin Mpofu,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,Other
"Pi Ventures
",Global,seed,VC,500000,1000000,"IT, Media, Consumer"
"Pierre Giraud
","US/Canada

","pre-seed, seed","Pre-seed fund

",100000,250000,"IT, Consumer, Edtech, Fintech"
Pieterjan Bouten,Global,"pre-seed, seed, series+",Solo Angel,50000,250000,Sector Agnostic
Pip Wilson,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Other
"Point One Capital
",Global,pre-seed,VC,25000,75000,"IT, Edtech, Consumer"
Prabhdeep Singh,Global,"pre-seed, seed, series+",Solo Angel,25000,50000,Sector Agnostic
"Pras Hanuma
",Global,"pre-seed, seed",Solo Angel,1000,3000000,"IT, Edtech, Fintech"
"Prashant Tandon
",Global,"pre-seed, seed",Solo Angel,10000,200000,"IT, Media, Consumer"
"Prateek Kumar Bhowmick
",Global,"pre-seed, seed",Solo Angel,10000,50000,"IT, Media, Edtech, Fintech"
"Pravega Ventures
",Global,"pre-seed, seed",VC,10000,100000,"IT, Consumer, Fintech"
"Priyank Shah
",Global,"pre-seed, seed",Solo Angel,500000,5000000,Consumer
"Promise Phelon
","US/Canada

","pre-seed, seed, series+","Multi-stage VC

",50000,100000,Fintech
Punch Capital,United States,"seed,prototype/mvp",VC,50000,100000,Sector Agnostic
Punch Capital,United States,"pre-seed, seed",VC,50000,100000,Sector Agnostic
Qamar Aziz,Global,"pre-seed, seed, series+",Solo Angel,500000,5000000,Sector Agnostic
"Qasar Younis
","Global, US/Canada

","pre-seed, seed, series++",Solo Angel,50000,100000,"IT, Healthcare, Consumer, Fintech"
"Quona Capital
",Global,seed,VC,500000,2000000,"IT, Consumer, Fintech"
"Rachel Star
","US/Canada

","pre-seed, seed, series+","Seed fund

",1000000,5000000,"IT, Consumer, Fintech"
"Radhika Agarwal Ghai
",Global,"pre-seed, seed",Solo Angel,50000,500000,"Media, Consumer"
Rafal Han,Global,"pre-seed, seed, series+",Solo Angel,50000,250000,IT
"Rafeh Saleh
","Middle East/North Africa

",seed,"Seed fund

",100000,500000,"IoT, IT, Healthcare, Fintech, Consumer, Media, Edtech"
Rafi Musher,Global,"pre-seed, seed, series+",Solo Angel,25000,500000,Other
Raghu Raghavan,Global,"pre-seed, seed, series+",Solo Angel,50000,500000,Sector Agnostic
Raghu Raghuram,Global,"pre-seed, seed, series+",Solo Angel,500000,1000000,Sector Agnostic
"Raghunandan G
",Global,"pre-seed, seed",Solo Angel,100000,200000,"IT, Media, Consumer, Fintech"
Ragnar Sass,Global,"pre-seed, seed, series+",Solo Angel,1000,5000000,Sector Agnostic
Rahul Chari,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Sector Agnostic
Rahul Garg,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Sector Agnostic
"Rahul Maroli
",Global,"pre-seed, seed",Solo Angel,50000,150000,"Media, Edtech, Consumer"
"Rahul Prakash
","Latin America, US/Canada

","pre-seed, seed","Seed fund

",500000,1000000,"IT, Fintech"
Rahul Vohra,Global,"pre-seed, seed, series+",Solo Angel,25000,250000,Sector Agnostic
"Rajan Anandan
",Global,"pre-seed, seed",Solo Angel,1000,2000000,"IT, Consumer, Media, Fintech, Edtech"
"Rajat Gupta
",Global,"pre-seed, seed",Solo Angel,10000,30000,"IT, Edtech"
"Rajesh Mane
",Global,"pre-seed, seed",Solo Angel,1000,5000000,"IT, Consumer, Fintech"
"Rajesh Sawhney
",Global,pre-seed,Solo Angel,100000,1000000,"IT, Consumer, Media, Fintech, Edtech"
"Rajesh Yabaji
",Global,"pre-seed, seed",Solo Angel,500000,10000000,"Consumer, Edtech, Fintech"
Rajiv Krishnarao,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,Other
Rajiv Ramaswami,Global,"pre-seed, seed, series+",Solo Angel,250000,750000,Sector Agnostic
Raju Indukuri,Global,"pre-seed, seed, series+",Solo Angel,100000,200000,IT
Rakesh Loonkar,Global,"pre-seed, seed, series+",Solo Angel,1000,10000000,Sector Agnostic
Rakesh Mathur,Global,"pre-seed, seed, series+",Solo Angel,25000,125000,Sector Agnostic
Ram Ravichandran,Global,"pre-seed, seed, series+",Solo Angel,100000,500000,Sector Agnostic
"Ramakant Sharma
",Global,"pre-seed, seed",Solo Angel,500000,1000000,"Media, Consumer, Fintech"
Rand Hindi,Global,"pre-seed, seed, series+",Solo Angel,10000,200000,Sector Agnostic
Raphael Danilo,Global,"pre-seed, seed, series+",Solo Angel,250000,2000000,Edtech
Ratmir Timashev,Global,"pre-seed, seed, series+",Solo Angel,50000,100000,IT
"Raveen Sastry
",Global,"pre-seed, seed",Solo Angel,25000,50000,"Edtech, Media"
"Ravi Bhushan
",Global,"pre-seed, seed",Solo Angel,250000,750000,Consumer
"Ravi Grover
","US/Canada

","pre-seed, seed, series+","Multi-stage VC

",100000,500000,Consumer
